,Ocean,SAMPMETHOD,Measurement,UNIT,Latitude,Longitude,Date,geometry
0,Pacific Ocean,Neuston net,0.0,pieces/m3,6.35,-121.85,"Wed, 18 Dec 2002 00:00:00 GMT",POINT (-121.85 6.35000000000002)
1,Pacific Ocean,Manta net,0.013,pieces/m3,0.5,-95.35,"Tue, 17 Oct 2006 00:00:00 GMT",POINT (-95.35 0.500000000000057)
2,Atlantic Ocean,Aluminum bucket,1368.0,pieces/m3,0.631825,-45.398158,"Wed, 17 Oct 2018 00:00:00 GMT",POINT (-45.398158 0.631825000000049)
3,Pacific Ocean,Grab sample,0.001,pieces/m3,16.623,-99.6978,"Sat, 03 Jan 2015 00:00:00 GMT",POINT (-99.6978 16.623)
4,Atlantic Ocean,Neuston net,0.0,pieces/m3,19.77,-81.06,"Thu, 15 Mar 2007 00:00:00 GMT",POINT (-81.0599999999999 19.77)
7,Atlantic Ocean,Neuston net,0.0,pieces/m3,55.997,-4.888,"Tue, 13 Nov 2018 00:00:00 GMT",POINT (-4.88799999999998 55.9970000000001)
8,Arctic Ocean,Intake seawater pump,0.0,pieces/m3,81.1909,12.8995,"Fri, 16 Sep 2016 00:00:00 GMT",POINT (12.8995 81.1909000000001)
9,Atlantic Ocean,Grab sample,0.018,pieces/m3,-31.696,-48.56,"Tue, 11 Aug 2015 00:00:00 GMT",POINT (-48.5599999999999 -31.696)
10,Atlantic Ocean,Manta net,1.956425,pieces/m3,32.6775,34.920833,"Sun, 27 Oct 2013 00:00:00 GMT",POINT (34.9208330000001 32.6775000000001)
11,Atlantic Ocean,Manta net,0.138471,pieces/m3,38.617833,-20.686667,"Thu, 13 Jun 2019 00:00:00 GMT",POINT (-20.6866669999999 38.6178330000001)
12,Atlantic Ocean,Neuston net,0.009968,pieces/m3,43.11,-64.37,"Sat, 09 Jun 2001 00:00:00 GMT",POINT (-64.3699999999999 43.1100000000001)
13,Atlantic Ocean,Neuston net,0.0,pieces/m3,43.61,-67.0,"Mon, 06 Jun 2005 00:00:00 GMT",POINT (-66.9999999999999 43.6100000000001)
14,Atlantic Ocean,Manta net,0.709184,pieces/m3,44.240431,8.469206,"Tue, 11 Sep 2018 00:00:00 GMT",POINT (8.46920600000004 44.2404310000001)
15,Pacific Ocean,Neuston net,0.0,pieces/m3,57.22,-136.23,"Sat, 13 Jul 2002 00:00:00 GMT",POINT (-136.23 57.22)
16,Atlantic Ocean,Neuston net,0.004425,pieces/m3,58.034333,-3.627833,"Fri, 18 Jan 2019 00:00:00 GMT",POINT (-3.62783299999995 58.0343330000001)
17,Atlantic Ocean,Neuston net,0.003088,pieces/m3,41.05,-70.67,"Wed, 24 Jun 1998 00:00:00 GMT",POINT (-70.67 41.0500000000001)
18,Atlantic Ocean,Neuston net,0.00216,pieces/m3,41.49,-70.9,"Fri, 05 Jul 1996 00:00:00 GMT",POINT (-70.9 41.4900000000001)
19,Atlantic Ocean,Neuston net,0.01296,pieces/m3,40.06,-71.16,"Mon, 10 Jul 1995 00:00:00 GMT",POINT (-71.16 40.0600000000001)
20,Atlantic Ocean,Neuston net,0.0048,pieces/m3,39.84,-68.3,"Thu, 06 Sep 2001 00:00:00 GMT",POINT (-68.3 39.84)
21,Atlantic Ocean,Neuston net,0.00648,pieces/m3,40.21,-68.1,"Thu, 20 Jul 1989 00:00:00 GMT",POINT (-68.1 40.21)
22,Atlantic Ocean,Neuston net,0.0,pieces/m3,37.47,-66.97,"Mon, 14 Oct 1991 00:00:00 GMT",POINT (-66.97 37.47)
25,Atlantic Ocean,Neuston net,0.01944,pieces/m3,31.89,-71.22,"Sat, 08 Apr 2000 00:00:00 GMT",POINT (-71.22 31.89)
26,Atlantic Ocean,Neuston net,0.047516,pieces/m3,32.14,-64.73,"Wed, 07 Jun 2000 00:00:00 GMT",POINT (-64.73 32.14)
27,Atlantic Ocean,Neuston net,0.00432,pieces/m3,32.67,-64.48,"Wed, 13 May 1992 00:00:00 GMT",POINT (-64.48 32.6700000000001)
28,Atlantic Ocean,Neuston net,0.0,pieces/m3,39.69,-72.06,"Wed, 03 Sep 2008 00:00:00 GMT",POINT (-72.0599999999999 39.6900000000001)
29,Pacific Ocean,Neuston net,0.0,pieces/m3,33.06,-148.13,"Tue, 17 Jul 2007 00:00:00 GMT",POINT (-148.13 33.0600000000001)
30,Pacific Ocean,Manta net,8.294709,pieces/m3,31.790833,-143.96,"Mon, 02 Dec 2019 00:00:00 GMT",POINT (-143.96 31.7908330000001)
31,Pacific Ocean,Manta net,4.532856,pieces/m3,31.99426,-135.652,"Fri, 14 Aug 2015 00:00:00 GMT",POINT (-135.652 31.9942600000001)
35,Atlantic Ocean,PVC cylinder,2115.655853,pieces/m3,20.974583,-97.3069,"Thu, 12 Apr 2018 00:00:00 GMT",POINT (-97.3069 20.9745830000001)
36,Atlantic Ocean,Neuston net,0.00864,pieces/m3,24.28,-82.18,"Thu, 09 Jan 1997 00:00:00 GMT",POINT (-82.1799999999999 24.28)
37,Atlantic Ocean,Neuston net,0.01296,pieces/m3,21.84,-59.34,"Sat, 31 Oct 1998 00:00:00 GMT",POINT (-59.34 21.84)
38,Atlantic Ocean,Neuston net,0.00648,pieces/m3,20.18,-70.07,"Mon, 14 Apr 2008 00:00:00 GMT",POINT (-70.0699999999999 20.1800000000001)
39,Atlantic Ocean,Grab sample,0.0,pieces/m3,25.38,-18.59,"Wed, 26 Nov 2014 00:00:00 GMT",POINT (-18.59 25.3800000000001)
40,Atlantic Ocean,Intake seawater pump,0.5,pieces/m3,25.164051,-18.900932,"Wed, 11 Nov 2015 00:00:00 GMT",POINT (-18.900932 25.164051)
53,Pacific Ocean,Manta net,0.143,pieces/m3,29.2323,-143.8742,"Sat, 23 Oct 2010 00:00:00 GMT",POINT (-143.8742 29.2323000000001)
54,Pacific Ocean,PVC cylinder,2115.655853,pieces/m3,26.729392,-111.906818,"Wed, 11 Jul 2018 00:00:00 GMT",POINT (-111.906818 26.7293920000001)
55,Atlantic Ocean,Neuston net,0.0,pieces/m3,26.42,-77.91,"Thu, 06 May 1993 00:00:00 GMT",POINT (-77.91 26.4200000000001)
57,Atlantic Ocean,Van Dorn sampler,0.0,pieces/m3,27.9237,-82.4807,"Tue, 09 Aug 2016 00:00:00 GMT",POINT (-82.4807 27.9237000000001)
59,Atlantic Ocean,Neuston net,0.008096,pieces/m3,15.65,-59.37,"Thu, 01 Nov 2001 00:00:00 GMT",POINT (-59.3699999999999 15.65)
60,Atlantic Ocean,Neuston net,0.0,pieces/m3,12.73,-61.7,"Wed, 09 Dec 1992 00:00:00 GMT",POINT (-61.6999999999999 12.7300000000001)
61,Pacific Ocean,Manta net,0.64902,pieces/m3,28.0315,-131.4227,"Wed, 16 Sep 2015 00:00:00 GMT",POINT (-131.4227 28.0315000000001)
62,Pacific Ocean,Neuston net,0.0,pieces/m3,25.35,-141.11,"Tue, 17 Feb 2009 00:00:00 GMT",POINT (-141.11 25.35)
63,Pacific Ocean,Neuston net,0.0,pieces/m3,22.76,-141.69,"Sat, 03 Apr 2004 00:00:00 GMT",POINT (-141.69 22.76)
64,Pacific Ocean,Neuston net,0.0,pieces/m3,29.98,-140.0,"Mon, 16 Aug 2004 00:00:00 GMT",POINT (-140 29.9800000000001)
66,Atlantic Ocean,Neuston net,0.0,pieces/m3,12.77,-79.83,"Tue, 03 Mar 1992 00:00:00 GMT",POINT (-79.83 12.77)
67,Atlantic Ocean,Neuston net,0.00432,pieces/m3,11.17,-67.28,"Thu, 16 Dec 1999 00:00:00 GMT",POINT (-67.28 11.1700000000001)
68,Atlantic Ocean,Neuston net,0.00216,pieces/m3,11.82,-66.38,"Sat, 20 Dec 2003 00:00:00 GMT",POINT (-66.3799999999999 11.8200000000001)
69,Atlantic Ocean,Neuston net,0.0,pieces/m3,11.94,-68.26,"Tue, 15 Dec 1987 00:00:00 GMT",POINT (-68.2599999999999 11.9400000000001)
70,Atlantic Ocean,Neuston net,0.0,pieces/m3,15.28,-64.43,"Sat, 03 Dec 1994 00:00:00 GMT",POINT (-64.4299999999999 15.28)
71,Atlantic Ocean,Aluminum bucket,885.0,pieces/m3,0.678683,-47.812442,"Thu, 15 Mar 2018 00:00:00 GMT",POINT (-47.812442 0.678683000000035)
72,Atlantic Ocean,Neuston net,0.043196,pieces/m3,17.27,-76.03,"Sun, 28 Feb 1993 00:00:00 GMT",POINT (-76.03 17.27)
73,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.73,-81.21,"Sun, 05 Mar 2000 00:00:00 GMT",POINT (-81.21 16.7300000000001)
74,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.5,-80.97,"Sat, 28 Feb 1998 00:00:00 GMT",POINT (-80.97 16.5000000000001)
75,Atlantic Ocean,Neuston net,0.0,pieces/m3,11.38,-63.34,"Wed, 09 Dec 1998 00:00:00 GMT",POINT (-63.34 11.3800000000001)
76,Atlantic Ocean,Neuston net,0.0,pieces/m3,11.22,-62.23,"Tue, 17 Dec 1996 00:00:00 GMT",POINT (-62.23 11.22)
77,Atlantic Ocean,Manta net,0.057342,pieces/m3,42.637833,-9.14315,"Sun, 16 Sep 2018 00:00:00 GMT",POINT (-9.14314999999993 42.6378330000001)
78,Atlantic Ocean,Neuston net,0.041614,pieces/m3,55.901,-4.909167,"Mon, 22 Oct 2018 00:00:00 GMT",POINT (-4.90916699999997 55.9010000000001)
79,Atlantic Ocean,Manta net,0.9,pieces/m3,35.742,26.212,"Wed, 20 Mar 2019 00:00:00 GMT",POINT (26.212 35.7420000000001)
80,Pacific Ocean,Neuston net,0.0,pieces/m3,24.21,-149.32,"Mon, 20 Aug 2007 00:00:00 GMT",POINT (-149.32 24.21)
81,Atlantic Ocean,Manta net,0.78064,pieces/m3,31.746667,34.593,"Sun, 09 Feb 2014 00:00:00 GMT",POINT (34.5930000000001 31.7466670000001)
83,Atlantic Ocean,Neuston net,0.002088,pieces/m3,46.29,-57.62,"Tue, 25 Jul 1989 00:00:00 GMT",POINT (-57.6199999999999 46.2900000000001)
84,Atlantic Ocean,Neuston net,0.0,pieces/m3,42.58,-65.77,"Tue, 19 May 1992 00:00:00 GMT",POINT (-65.77 42.58)
85,Atlantic Ocean,Neuston net,0.0,pieces/m3,42.83,-69.38,"Mon, 21 Jul 2008 00:00:00 GMT",POINT (-69.3799999999999 42.83)
86,Atlantic Ocean,Neuston net,0.009256,pieces/m3,42.86,-69.74,"Sat, 19 Aug 2000 00:00:00 GMT",POINT (-69.74 42.8600000000001)
87,Atlantic Ocean,Grab sample,0.0,pieces/m3,50.3247,-5.1998,"Mon, 10 Oct 2016 00:00:00 GMT",POINT (-5.19979999999993 50.3247000000001)
90,Atlantic Ocean,Neuston net,0.037788,pieces/m3,37.23,-64.5,"Wed, 27 Jun 2001 00:00:00 GMT",POINT (-64.4999999999999 37.2300000000001)
91,Atlantic Ocean,Manta net,2.381713,pieces/m3,38.2729,-0.27666,"Wed, 29 Oct 2014 00:00:00 GMT",POINT (-0.276659999999936 38.2729)
92,Atlantic Ocean,Manta net,0.090741,pieces/m3,36.42,-4.343333,"Tue, 19 Aug 2014 00:00:00 GMT",POINT (-4.34333299999997 36.4200000000001)
100,Pacific Ocean,Manta net,10.282,pieces/m3,35.016,-141.7381,"Sun, 16 Aug 2009 00:00:00 GMT",POINT (-141.7381 35.0160000000001)
101,Pacific Ocean,Neuston net,5.903267,pieces/m3,34.37,-143.7072,"Thu, 24 Sep 2009 00:00:00 GMT",POINT (-143.7072 34.3700000000001)
102,Pacific Ocean,Neuston net,0.003,pieces/m3,38.967,-140.983,"Sat, 21 Oct 1972 00:00:00 GMT",POINT (-140.983 38.967)
103,Pacific Ocean,Neuston net,0.425735,pieces/m3,37.2045,-133.865,"Sun, 16 Sep 2007 00:00:00 GMT",POINT (-133.865 37.2045000000001)
104,Pacific Ocean,PVC cylinder,0.0,pieces/m3,31.828258,-116.609493,"Sat, 07 Jul 2018 00:00:00 GMT",POINT (-116.609493 31.8282580000001)
106,Atlantic Ocean,Neuston net,0.0,pieces/m3,20.68,-71.58,"Sat, 28 Dec 1991 00:00:00 GMT",POINT (-71.58 20.6800000000001)
107,Atlantic Ocean,Neuston net,0.00864,pieces/m3,25.93,-73.38,"Sat, 20 May 1995 00:00:00 GMT",POINT (-73.3799999999999 25.9300000000001)
108,Atlantic Ocean,Neuston net,0.030236,pieces/m3,29.13,-64.94,"Mon, 21 May 2001 00:00:00 GMT",POINT (-64.9399999999999 29.1300000000001)
109,Atlantic Ocean,Grab sample,0.033,pieces/m3,24.2317,-21.2217,"Thu, 27 Nov 2014 00:00:00 GMT",POINT (-21.2216999999999 24.2317)
110,Atlantic Ocean,Grab sample,0.0,pieces/m3,30.0497,-16.0541,"Wed, 09 Sep 2015 00:00:00 GMT",POINT (-16.0540999999999 30.0497)
111,Pacific Ocean,Manta net,3.964016,pieces/m3,32.000648,-142.5855,"Tue, 11 Aug 2015 00:00:00 GMT",POINT (-142.5855 32.0006480000001)
113,Atlantic Ocean,Neuston net,0.00432,pieces/m3,25.67,-76.07,"Wed, 06 Jan 1993 00:00:00 GMT",POINT (-76.0699999999999 25.6700000000001)
114,Atlantic Ocean,Neuston net,0.00432,pieces/m3,24.8,-75.65,"Tue, 13 Feb 1996 00:00:00 GMT",POINT (-75.65 24.8000000000001)
115,Atlantic Ocean,Neuston net,0.120952,pieces/m3,28.78,-57.3,"Mon, 21 Oct 1991 00:00:00 GMT",POINT (-57.3 28.78)
116,Atlantic Ocean,Neuston net,0.0,pieces/m3,23.95,-57.68,"Wed, 03 Nov 1999 00:00:00 GMT",POINT (-57.6799999999999 23.95)
117,Atlantic Ocean,Neuston net,0.134988,pieces/m3,21.72,-64.54,"Thu, 12 May 2005 00:00:00 GMT",POINT (-64.54 21.72)
130,Atlantic Ocean,Neuston net,0.030236,pieces/m3,26.25,-78.95,"Fri, 29 Mar 1996 00:00:00 GMT",POINT (-78.95 26.2500000000001)
131,Atlantic Ocean,Neuston net,0.0,pieces/m3,25.89,-79.64,"Fri, 16 Feb 2007 00:00:00 GMT",POINT (-79.64 25.89)
132,Atlantic Ocean,Grab sample,0.003,pieces/m3,25.7429,-80.0865,"Mon, 15 Jun 2015 00:00:00 GMT",POINT (-80.0864999999999 25.7429000000001)
133,Atlantic Ocean,Van Dorn sampler,0.0,pieces/m3,27.9899,-82.6316,"Wed, 08 Jun 2016 00:00:00 GMT",POINT (-82.6315999999999 27.9899)
136,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.02,-58.47,"Mon, 04 Nov 1996 00:00:00 GMT",POINT (-58.47 16.02)
137,Atlantic Ocean,Grab sample,0.002,pieces/m3,13.7395,-44.58,"Mon, 08 Dec 2014 00:00:00 GMT",POINT (-44.58 13.7395)
138,Atlantic Ocean,Grab sample,0.017,pieces/m3,16.8667,-49.25,"Mon, 02 Feb 2015 00:00:00 GMT",POINT (-49.2499999999999 16.8667)
139,Pacific Ocean,Manta net,2.206101,pieces/m3,30.09175,-133.8008,"Mon, 14 Sep 2015 00:00:00 GMT",POINT (-133.8008 30.09175)
140,Pacific Ocean,Neuston net,0.0,pieces/m3,23.35,-144.31,"Thu, 05 Jan 2012 00:00:00 GMT",POINT (-144.31 23.35)
141,Pacific Ocean,Grab sample,0.007,pieces/m3,24.1633,-110.3172,"Tue, 03 Dec 2013 00:00:00 GMT",POINT (-110.3172 24.1633)
142,Atlantic Ocean,Neuston net,0.0,pieces/m3,13.9,-65.93,"Sun, 18 Dec 1994 00:00:00 GMT",POINT (-65.9299999999999 13.9)
143,Atlantic Ocean,Neuston net,0.0,pieces/m3,17.34,-73.36,"Fri, 14 Dec 2001 00:00:00 GMT",POINT (-73.36 17.34)
144,Atlantic Ocean,Neuston net,0.00648,pieces/m3,19.5,-74.05,"Fri, 10 Apr 1998 00:00:00 GMT",POINT (-74.05 19.5000000000001)
145,Atlantic Ocean,Neuston net,0.00216,pieces/m3,17.02,-63.43,"Fri, 03 Dec 1993 00:00:00 GMT",POINT (-63.4299999999999 17.02)
146,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.34,-62.91,"Thu, 04 Dec 2003 00:00:00 GMT",POINT (-62.91 16.34)
147,Atlantic Ocean,Neuston net,0.004152,pieces/m3,15.26,-62.65,"Sun, 06 Dec 1987 00:00:00 GMT",POINT (-62.65 15.26)
148,Pacific Ocean,Neuston net,0.0,pieces/m3,5.79,-147.72,"Fri, 03 Apr 2009 00:00:00 GMT",POINT (-147.72 5.79000000000002)
149,Pacific Ocean,Neuston net,0.0,pieces/m3,3.48,-143.62,"Mon, 18 Apr 2011 00:00:00 GMT",POINT (-143.62 3.48000000000008)
150,Pacific Ocean,Neuston net,0.0,pieces/m3,19.73,-146.63,"Tue, 06 Nov 2007 00:00:00 GMT",POINT (-146.63 19.7300000000001)
151,Pacific Ocean,Neuston net,0.0,pieces/m3,19.24,-143.41,"Wed, 22 Feb 2012 00:00:00 GMT",POINT (-143.41 19.2400000000001)
152,Atlantic Ocean,Neuston net,0.01512,pieces/m3,19.09,-77.96,"Mon, 13 Mar 2000 00:00:00 GMT",POINT (-77.96 19.09)
154,Atlantic Ocean,Neuston net,3.218619,pieces/m3,-30.5678,-22.9272,"Sun, 23 Jan 2011 00:00:00 GMT",POINT (-22.9272 -30.5678)
155,Pacific Ocean,Neuston net,0.0,pieces/m3,-15.27,-148.78,"Sat, 15 Mar 2003 00:00:00 GMT",POINT (-148.78 -15.27)
156,Pacific Ocean,Neuston net,0.0,pieces/m3,20.14,-148.94,"Mon, 29 Jun 2009 00:00:00 GMT",POINT (-148.94 20.14)
157,Atlantic Ocean,Manta net,1.513241,pieces/m3,32.840167,34.951833,"Tue, 08 Jul 2014 00:00:00 GMT",POINT (34.9518330000001 32.8401670000001)
159,Atlantic Ocean,Manta net,0.020988,pieces/m3,42.696733,10.32925,"Thu, 07 Jun 2018 00:00:00 GMT",POINT (10.3292500000001 42.6967330000001)
160,Pacific Ocean,Grab sample,0.0,pieces/m3,60.797,-148.093,"Sun, 25 Sep 2016 00:00:00 GMT",POINT (-148.093 60.7970000000001)
161,Atlantic Ocean,Neuston net,0.0,pieces/m3,56.423167,-2.472833,"Fri, 05 Jan 2018 00:00:00 GMT",POINT (-2.47283299999998 56.423167)
162,Arctic Ocean,Intake seawater pump,1.0,pieces/m3,85.575,11.2663,"Sat, 13 Aug 2016 00:00:00 GMT",POINT (11.2663000000001 85.575)
163,Atlantic Ocean,Manta net,0.066667,pieces/m3,37.5,26.3,"Tue, 16 Jun 2015 00:00:00 GMT",POINT (26.3000000000001 37.5000000000001)
164,Atlantic Ocean,Manta net,0.216199,pieces/m3,31.7012,-12.288867,"Sun, 01 Sep 2013 00:00:00 GMT",POINT (-12.288867 31.7012)
165,Atlantic Ocean,Manta net,0.739937,pieces/m3,36.156167,-23.8035,"Sun, 20 Jul 2014 00:00:00 GMT",POINT (-23.8034999999999 36.156167)
166,Atlantic Ocean,Manta net,0.046479,pieces/m3,37.991333,15.4615,"Fri, 24 Sep 2021 00:00:00 GMT",POINT (15.4615000000001 37.9913330000001)
167,Atlantic Ocean,Manta net,0.584957,pieces/m3,41.3565,9.3491,"Mon, 06 Oct 2014 00:00:00 GMT",POINT (9.34910000000002 41.3565)
168,Atlantic Ocean,Manta net,0.335,pieces/m3,41.753333,3.063333,"Fri, 05 Jun 2015 00:00:00 GMT",POINT (3.06333300000006 41.7533330000001)
169,Pacific Ocean,Grab sample,0.0,pieces/m3,49.4856,-124.3535,"Fri, 28 Aug 2015 00:00:00 GMT",POINT (-124.3535 49.4856)
170,Atlantic Ocean,Neuston net,0.0,pieces/m3,42.23,-70.24,"Sun, 14 Jul 2002 00:00:00 GMT",POINT (-70.24 42.2300000000001)
171,Atlantic Ocean,Neuston net,0.00216,pieces/m3,41.03,-68.58,"Thu, 11 Aug 1994 00:00:00 GMT",POINT (-68.58 41.03)
172,Atlantic Ocean,Neuston net,0.0,pieces/m3,40.66,-69.97,"Fri, 02 Sep 2005 00:00:00 GMT",POINT (-69.97 40.66)
173,Atlantic Ocean,Neuston net,0.0,pieces/m3,41.54,-66.64,"Sun, 06 Sep 1998 00:00:00 GMT",POINT (-66.64 41.5400000000001)
174,Atlantic Ocean,Neuston net,1.120481,pieces/m3,31.3751,-41.7579,"Sun, 30 Jun 2013 00:00:00 GMT",POINT (-41.7578999999999 31.3751)
175,Atlantic Ocean,Manta net,0.016375,pieces/m3,36.609833,-3.896333,"Sat, 16 Jun 2018 00:00:00 GMT",POINT (-3.89633299999997 36.609833)
176,Atlantic Ocean,Neuston net,0.0,pieces/m3,28.48,-73.48,"Tue, 30 Apr 1991 00:00:00 GMT",POINT (-73.48 28.4800000000001)
177,Atlantic Ocean,Grab sample,0.008,pieces/m3,28.6895,-14.0139,"Sun, 01 Mar 2015 00:00:00 GMT",POINT (-14.0139 28.6895000000001)
178,Pacific Ocean,Manta net,2.1,pieces/m3,34.0587,-139.9829,"Fri, 14 Aug 2009 00:00:00 GMT",POINT (-139.9829 34.0587)
179,Pacific Ocean,Neuston net,1.162565,pieces/m3,40.4037,-148.0525,"Fri, 18 Nov 2011 00:00:00 GMT",POINT (-148.0525 40.4037000000001)
180,Pacific Ocean,Manta net,2.189049,pieces/m3,32.4396,-133.72655,"Fri, 11 Sep 2015 00:00:00 GMT",POINT (-133.72655 32.4396)
183,Atlantic Ocean,Grab sample,0.002,pieces/m3,20.4494,-86.9901,"Sat, 01 Feb 2014 00:00:00 GMT",POINT (-86.9901 20.4494)
184,Atlantic Ocean,Neuston net,0.097192,pieces/m3,30.03,-59.88,"Sun, 25 Oct 1992 00:00:00 GMT",POINT (-59.8799999999999 30.03)
185,Atlantic Ocean,Neuston net,0.00324,pieces/m3,24.84,-71.45,"Wed, 25 Feb 2004 00:00:00 GMT",POINT (-71.45 24.84)
186,Atlantic Ocean,Neuston net,0.007856,pieces/m3,26.76,-65.67,"Fri, 18 May 2007 00:00:00 GMT",POINT (-65.67 26.76)
187,Atlantic Ocean,Neuston net,0.01512,pieces/m3,30.97,-66.37,"Fri, 11 Apr 1997 00:00:00 GMT",POINT (-66.3699999999999 30.97)
194,Atlantic Ocean,Neuston net,0.140388,pieces/m3,25.73,-77.08,"Mon, 01 Apr 1996 00:00:00 GMT",POINT (-77.08 25.7300000000001)
195,Atlantic Ocean,Van Dorn sampler,1000.0,pieces/m3,27.897,-82.4382,"Mon, 10 Jul 2017 00:00:00 GMT",POINT (-82.4381999999999 27.897)
200,Pacific Ocean,Neuston net,0.0,pieces/m3,27.84,-140.77,"Sat, 19 May 2012 00:00:00 GMT",POINT (-140.77 27.84)
201,Pacific Ocean,Neuston net,0.0,pieces/m3,28.54,-140.09,"Sat, 12 Feb 2011 00:00:00 GMT",POINT (-140.09 28.5400000000001)
202,Pacific Ocean,Manta net,3.551559,pieces/m3,29.87705,-137.6065,"Thu, 20 Aug 2015 00:00:00 GMT",POINT (-137.6065 29.8770500000001)
203,Pacific Ocean,Manta net,5.997055,pieces/m3,30.993983,-139.5495,"Sat, 08 Aug 2015 00:00:00 GMT",POINT (-139.5495 30.9939830000001)
204,Pacific Ocean,Neuston net,0.0,pieces/m3,28.54,-116.09,"Mon, 15 Oct 2001 00:00:00 GMT",POINT (-116.09 28.5400000000001)
205,Pacific Ocean,PVC cylinder,4231.311707,pieces/m3,28.859672,-112.030125,"Thu, 21 Jun 2018 00:00:00 GMT",POINT (-112.030125 28.859672)
206,Atlantic Ocean,Neuston net,0.0,pieces/m3,19.55,-59.93,"Fri, 03 Nov 1995 00:00:00 GMT",POINT (-59.9299999999999 19.5500000000001)
207,Atlantic Ocean,Grab sample,0.004,pieces/m3,15.1867,-54.7137,"Sat, 29 Nov 2014 00:00:00 GMT",POINT (-54.7137 15.1867)
208,Atlantic Ocean,Grab sample,0.005,pieces/m3,15.7974,-52.1839,"Sat, 06 Dec 2014 00:00:00 GMT",POINT (-52.1838999999999 15.7974)
209,Atlantic Ocean,Grab sample,0.022,pieces/m3,17.0117,-42.6883,"Wed, 26 Nov 2014 00:00:00 GMT",POINT (-42.6883 17.0117000000001)
210,Pacific Ocean,Neuston net,0.041396,pieces/m3,24.59,-143.47,"Wed, 16 Apr 2008 00:00:00 GMT",POINT (-143.47 24.59)
211,Pacific Ocean,Neuston net,2.818452,pieces/m3,28.41,-140.21,"Wed, 17 Oct 2012 00:00:00 GMT",POINT (-140.21 28.41)
212,Pacific Ocean,Plankton net,0.49,pieces/m3,-0.5,-92.0,"Thu, 19 Oct 2017 00:00:00 GMT",POINT (-91.9999999999999 -0.499999999999943)
213,Pacific Ocean,Grab sample,0.001,pieces/m3,18.7996,-110.9158,"Wed, 30 Mar 2016 00:00:00 GMT",POINT (-110.9158 18.7996000000001)
214,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.23,-86.26,"Mon, 28 Dec 1987 00:00:00 GMT",POINT (-86.26 16.2300000000001)
215,Atlantic Ocean,Grab sample,0.001,pieces/m3,19.3465,-81.1861,"Wed, 18 Mar 2015 00:00:00 GMT",POINT (-81.1861 19.3465)
216,Atlantic Ocean,Neuston net,0.0,pieces/m3,17.78,-68.15,"Sun, 02 Mar 1997 00:00:00 GMT",POINT (-68.15 17.78)
217,Atlantic Ocean,Neuston net,0.0,pieces/m3,15.66,-60.77,"Sun, 09 Nov 2008 00:00:00 GMT",POINT (-60.77 15.66)
218,Pacific Ocean,AVANI net,0.085555,pieces/m3,-27.013,-107.57014,"Tue, 27 Oct 2015 00:00:00 GMT",POINT (-107.57014 -27.013)
219,Atlantic Ocean,Manta net,4.17,pieces/m3,32.584,34.9055,"Mon, 02 Feb 2015 00:00:00 GMT",POINT (34.9055000000001 32.5840000000001)
220,Atlantic Ocean,Manta net,0.912,pieces/m3,41.379079,2.194423,"Sun, 03 Jan 2021 00:00:00 GMT",POINT (2.19442300000003 41.379079)
221,Atlantic Ocean,Neuston net,0.0,pieces/m3,43.87,-58.92,"Sat, 16 Jul 2005 00:00:00 GMT",POINT (-58.92 43.8700000000001)
222,Atlantic Ocean,Neuston net,0.0,pieces/m3,44.17,-62.98,"Sun, 26 Jul 1998 00:00:00 GMT",POINT (-62.98 44.1700000000001)
224,Atlantic Ocean,Manta net,0.218413,pieces/m3,43.95,9.873333,"Tue, 22 May 2018 00:00:00 GMT",POINT (9.87333300000006 43.95)
225,Atlantic Ocean,Neuston net,0.016313,pieces/m3,58.613167,-5.175333,"Fri, 12 Jan 2018 00:00:00 GMT",POINT (-5.17533299999997 58.613167)
226,Atlantic Ocean,Neuston net,0.00648,pieces/m3,39.31,-66.02,"Mon, 13 May 1991 00:00:00 GMT",POINT (-66.02 39.3100000000001)
227,Atlantic Ocean,Neuston net,0.00216,pieces/m3,38.13,-65.45,"Thu, 30 May 2002 00:00:00 GMT",POINT (-65.4499999999999 38.1300000000001)
228,Atlantic Ocean,Neuston net,0.057574,pieces/m3,35.2107,-33.9168,"Sat, 15 Jun 2013 00:00:00 GMT",POINT (-33.9168 35.2107)
229,Atlantic Ocean,Neuston net,11.196078,pieces/m3,39.666667,19.366667,"Wed, 15 May 2013 00:00:00 GMT",POINT (19.3666670000001 39.6666670000001)
230,Atlantic Ocean,Manta net,0.716667,pieces/m3,39.26,19.771,"Sun, 26 Apr 2015 00:00:00 GMT",POINT (19.7710000000001 39.26)
231,Atlantic Ocean,Manta net,2.34786,pieces/m3,36.5349,13.1282,"Sat, 30 Aug 2014 00:00:00 GMT",POINT (13.1282 36.5349000000001)
235,Atlantic Ocean,Neuston net,0.0,pieces/m3,42.07,-69.73,"Mon, 24 Aug 1998 00:00:00 GMT",POINT (-69.73 42.0700000000001)
236,Atlantic Ocean,Neuston net,0.01512,pieces/m3,41.3,-69.03,"Sun, 13 Aug 1995 00:00:00 GMT",POINT (-69.03 41.3000000000001)
