,Ocean,SAMPMETHOD,Measurement,UNIT,Latitude,Longitude,Date,geometry
4134,Atlantic Ocean,Neuston net,0.00648,pieces/m3,45.05,-60.25,"Thu, 23 Jul 1998 00:00:00 GMT",POINT (-60.2499999999999 45.0500000000001)
4135,Atlantic Ocean,Neuston net,0.00864,pieces/m3,35.15,-61.73,"Thu, 21 Oct 2004 00:00:00 GMT",POINT (-61.73 35.15)
4136,Atlantic Ocean,Manta net,0.690494,pieces/m3,37.524483,-0.7165,"Tue, 13 May 2014 00:00:00 GMT",POINT (-0.71649999999994 37.524483)
4137,Atlantic Ocean,Manta net,0.416761,pieces/m3,36.3635,-4.835833,"Mon, 05 Apr 2021 00:00:00 GMT",POINT (-4.83583299999998 36.3635)
4138,Atlantic Ocean,Manta net,2.762513,pieces/m3,38.4763,15.0934,"Sat, 12 Jul 2014 00:00:00 GMT",POINT (15.0934 38.4763)
4139,Atlantic Ocean,Manta net,0.299882,pieces/m3,37.7341,3.8056,"Sat, 13 Sep 2014 00:00:00 GMT",POINT (3.80560000000003 37.7341000000001)
4140,Atlantic Ocean,Manta net,2.670203,pieces/m3,40.988333,2.831667,"Tue, 26 Aug 2014 00:00:00 GMT",POINT (2.83166700000004 40.9883330000001)
4141,Atlantic Ocean,Neuston net,0.00648,pieces/m3,35.82,-65.81,"Wed, 07 Jun 1989 00:00:00 GMT",POINT (-65.8099999999999 35.8200000000001)
4143,Atlantic Ocean,Neuston net,0.01296,pieces/m3,41.41,-70.88,"Wed, 09 Aug 1995 00:00:00 GMT",POINT (-70.8799999999999 41.41)
4144,Atlantic Ocean,Neuston net,0.0,pieces/m3,40.67,-70.52,"Sun, 07 Aug 1994 00:00:00 GMT",POINT (-70.52 40.6700000000001)
4145,Atlantic Ocean,Intake seawater pump,36.0,pieces/m3,40.3786,-71.1533,"Tue, 08 May 2018 00:00:00 GMT",POINT (-71.1532999999999 40.3786000000001)
4146,Atlantic Ocean,Neuston net,0.0,pieces/m3,37.75,-67.62,"Fri, 20 Oct 2000 00:00:00 GMT",POINT (-67.6199999999999 37.7500000000001)
4147,Pacific Ocean,Manta net,1.203,pieces/m3,32.2103,-130.245,"Thu, 06 Aug 2009 00:00:00 GMT",POINT (-130.245 32.2103000000001)
4150,Atlantic Ocean,Neuston net,0.040112,pieces/m3,32.01,-66.6,"Tue, 10 Apr 2001 00:00:00 GMT",POINT (-66.6 32.01)
4151,Atlantic Ocean,Neuston net,0.030236,pieces/m3,32.16,-64.88,"Wed, 09 Apr 1997 00:00:00 GMT",POINT (-64.8799999999999 32.16)
4152,Atlantic Ocean,Neuston net,0.028796,pieces/m3,36.14,-63.92,"Fri, 28 May 2004 00:00:00 GMT",POINT (-63.92 36.14)
4153,Atlantic Ocean,Neuston net,0.0,pieces/m3,25.22,-68.4,"Mon, 23 Feb 1998 00:00:00 GMT",POINT (-68.4 25.22)
4154,Atlantic Ocean,Neuston net,1.465596,pieces/m3,27.62,-72.5,"Thu, 01 Jun 2000 00:00:00 GMT",POINT (-72.4999999999999 27.6200000000001)
4155,Pacific Ocean,Neuston net,0.0,pieces/m3,31.72,-144.77,"Mon, 04 Oct 2010 00:00:00 GMT",POINT (-144.77 31.72)
4156,Pacific Ocean,Manta net,4.155,pieces/m3,35.806,-139.7601,"Thu, 13 Aug 2009 00:00:00 GMT",POINT (-139.7601 35.806)
4157,Pacific Ocean,Neuston net,0.0,pieces/m3,38.0,-127.817,"Wed, 03 May 1972 00:00:00 GMT",POINT (-127.817 38.0000000000001)
4158,Pacific Ocean,Manta net,0.053,pieces/m3,35.3361,-129.8055,"Tue, 26 Oct 2010 00:00:00 GMT",POINT (-129.8055 35.3361)
4162,Atlantic Ocean,Neuston net,0.003928,pieces/m3,23.33,-74.62,"Sat, 21 Feb 1998 00:00:00 GMT",POINT (-74.6199999999999 23.33)
4163,Atlantic Ocean,Neuston net,0.075592,pieces/m3,29.18,-61.13,"Tue, 28 Oct 1997 00:00:00 GMT",POINT (-61.1299999999999 29.1800000000001)
4164,Atlantic Ocean,Neuston net,0.00864,pieces/m3,22.1,-69.2,"Wed, 21 Feb 2001 00:00:00 GMT",POINT (-69.2 22.1)
4177,Pacific Ocean,Neuston net,0.003324,pieces/m3,27.33,-142.18,"Tue, 07 Aug 2007 00:00:00 GMT",POINT (-142.18 27.33)
4178,Pacific Ocean,PVC cylinder,5641.748942,pieces/m3,20.751055,-105.37303,"Sat, 09 Jun 2018 00:00:00 GMT",POINT (-105.37303 20.7510550000001)
4183,Atlantic Ocean,Neuston net,0.00648,pieces/m3,16.54,-86.05,"Sun, 11 Mar 2001 00:00:00 GMT",POINT (-86.05 16.5400000000001)
4184,Pacific Ocean,PVC cylinder,3526.093089,pieces/m3,15.664929,-96.544661,"Wed, 30 May 2018 00:00:00 GMT",POINT (-96.544661 15.664929)
4185,Atlantic Ocean,Grab sample,0.002,pieces/m3,16.7997,-87.8579,"Mon, 16 Mar 2015 00:00:00 GMT",POINT (-87.8579 16.7997)
4186,Atlantic Ocean,Neuston net,0.00864,pieces/m3,15.45,-70.82,"Fri, 19 Dec 1997 00:00:00 GMT",POINT (-70.8199999999999 15.45)
4187,Atlantic Ocean,Neuston net,0.00216,pieces/m3,16.1,-73.79,"Wed, 20 Dec 2000 00:00:00 GMT",POINT (-73.79 16.1)
4188,Atlantic Ocean,Neuston net,0.02376,pieces/m3,16.97,-61.91,"Wed, 08 Nov 2000 00:00:00 GMT",POINT (-61.91 16.97)
4189,Pacific Ocean,Manta net,0.034178,pieces/m3,-14.4675,-143.850333,"Sun, 13 May 2018 00:00:00 GMT",POINT (-143.850333 -14.4675)
4190,Pacific Ocean,Neuston net,0.0,pieces/m3,5.28,-146.64,"Mon, 04 Apr 2005 00:00:00 GMT",POINT (-146.64 5.28000000000003)
4191,Pacific Ocean,Neuston net,0.0,pieces/m3,0.27,-127.68,"Sat, 21 Dec 2002 00:00:00 GMT",POINT (-127.68 0.270000000000039)
4192,Atlantic Ocean,Aluminum bucket,1710.0,pieces/m3,0.019161,-47.805692,"Tue, 23 Oct 2018 00:00:00 GMT",POINT (-47.805692 0.0191610000000537)
4193,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.45,-79.18,"Mon, 29 Mar 1993 00:00:00 GMT",POINT (-79.1799999999999 16.45)
4194,Atlantic Ocean,Neuston net,0.0,pieces/m3,16.25,-85.87,"Mon, 02 Mar 1987 00:00:00 GMT",POINT (-85.8699999999999 16.2500000000001)
4195,Pacific Ocean,Grab sample,0.007,pieces/m3,60.0442,-149.4409,"Thu, 16 Jul 2015 00:00:00 GMT",POINT (-149.4409 60.0442)
4196,Atlantic Ocean,Neuston net,0.005593,pieces/m3,57.172,-1.823333,"Mon, 15 Jan 2018 00:00:00 GMT",POINT (-1.82333299999993 57.1720000000001)
4197,Pacific Ocean,Neuston net,0.0,pieces/m3,6.42,-148.97,"Wed, 19 Dec 2007 00:00:00 GMT",POINT (-148.97 6.42000000000007)
